ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
022.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
022.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
023.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
023.8,6.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
023.9,26.0,6.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
024.,7.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,
025.,12.0,,1.0,2.0,2.0,4.0,,2.0,,,,,,1.0,,,,,,,,,,,,
026.1,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
026.9,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
027.0,92.0,54.0,9.0,14.0,4.0,4.0,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,
027.1,5.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,
027.2,192.0,14.0,78.0,30.0,21.0,16.0,9.0,9.0,2.0,4.0,,2.0,1.0,4.0,,1.0,,,,,,,1.0,,,
027.8,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
027.9,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
030.0,3.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
030.3,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
030.8,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
030.9,12.0,1.0,6.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
031.0,682.0,102.0,77.0,108.0,95.0,76.0,67.0,43.0,20.0,19.0,20.0,16.0,3.0,9.0,7.0,6.0,3.0,1.0,4.0,3.0,,1.0,2.0,,,
031.1,16.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,
031.2,737.0,82.0,145.0,182.0,120.0,86.0,30.0,25.0,22.0,16.0,8.0,6.0,3.0,5.0,2.0,1.0,1.0,,,1.0,2.0,,,,,
031.8,94.0,15.0,15.0,6.0,7.0,15.0,10.0,9.0,1.0,2.0,3.0,6.0,2.0,1.0,,,,,,1.0,1.0,,,,,
031.9,180.0,11.0,32.0,17.0,23.0,20.0,20.0,17.0,11.0,9.0,5.0,7.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,,
032.3,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
032.81,6.0,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,
032.83,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
032.84,4.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
032.85,28.0,1.0,5.0,10.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,
